Store,Dept,RMSE,MAE
7,7,2465.49804784,1878.91747284
7,8,817.566328685,671.268762058
7,9,5621.93964523,4430.61145905
7,10,3580.49673079,2739.11343348
7,11,4806.99373881,3870.74748264
7,12,1901.8034848,1448.8046738
7,13,791.813350283,664.452122953
7,14,1364.82580892,1058.71899166
7,16,5157.92677949,3481.66615562
7,17,1137.47973251,795.243549195
7,18,680.31658696,553.645366968
7,19,52.852697336,48.6708657311
7,20,717.81423167,570.909699578
7,21,403.01136753,317.090229493
7,22,1093.65631644,864.753460735
7,23,2017.03674441,1563.0615882
7,24,1410.05440312,1265.69311417
7,25,1338.31220048,1101.21705501
7,26,450.255535859,335.028742108
7,27,155.745636241,129.436949458
7,28,202.247545738,182.607386711
7,29,546.283195177,463.556759476
7,30,305.53597304,235.670611311
7,31,1631.87438867,1558.81017259
7,32,761.194377465,618.51443403
7,33,604.865645602,430.784159471
7,34,1128.0250039,826.954488777
7,35,246.762721506,177.265664277
7,36,1143.67923411,1009.60916505
7,37,0,0
7,38,5259.87200389,4108.21601484
7,40,3109.25008139,2725.67771778
7,41,1802.29756982,1688.62638316
7,42,1291.65028077,1061.39615388
7,44,1458.8679975,1377.84756701
7,45,27.1833723646,18.6441792094
7,46,1614.9990246,1296.84678626
7,47,63.6655281474,15.9364062965
7,48,1238.13788777,895.345900065
7,49,60.5039659327,49.3103019171
7,51,34.8941667678,7.96697674419
7,52,384.62358135,315.173959679
7,54,41.1933796648,32.8635397273
7,55,1202.2748744,847.465455215
7,56,3525.8182373,1800.64204149
7,58,1593.33519491,1169.4025184
7,59,114.113186647,106.900445634
7,60,50.1671286591,40.9088119535
7,67,843.290916934,562.901660251
7,71,636.717335442,513.041825762
7,72,8443.11380505,6359.25385285
7,74,1712.80118934,1453.39094982
7,77,69.0218898703,68.3378402214
7,78,0.249964512511,0.249964512511
7,79,745.149762727,634.678730826
7,80,336.456660883,281.853919199
7,81,1060.13026156,961.559767027
7,82,2448.9645333,2192.53309322
7,83,342.132023711,307.592716998
7,85,983.596610956,889.929667739
7,87,1742.2579584,1372.2650263
7,90,4693.97773819,4558.12606767
7,91,821.486556896,666.651577943
7,92,3308.1059816,2953.67460987
7,93,778.820907951,688.565048534
7,94,1129.07272447,962.400779843
7,95,4686.33686608,4141.7017709
7,96,1011.35916319,971.229460353
7,97,1964.42006412,1756.76983968
7,98,201.828810766,148.319624905
7,99,0,0
7,39,0,0
7,50,0,0
7,43,0,0
7,65,0,0
8,1,6009.79085752,2671.27116358
8,2,2322.36607864,1974.01626297
8,3,4826.10466125,1908.7691106
8,4,1421.15237609,1152.68890236
8,5,10006.4268985,9357.56090728
8,6,1183.63121183,992.447380826
8,7,4074.11318825,3049.00599933
8,8,2885.94572799,2537.10859941
8,9,1976.61894245,1541.437562
8,10,2861.43498475,2252.78221425
8,11,4560.29382915,3078.68683061
8,12,1089.43274725,909.729545148
8,13,2098.94542378,1799.83643569
