Store,Dept,RMSE,MAE
3,74,920.410836699,753.686365799
3,77,53.6023293743,41.8007430864
3,78,0.289417782232,0.201833074989
3,79,715.983856866,591.443143529
3,80,11.1106667222,6.71746023425
3,81,130.636052483,106.246353129
3,82,1474.77945676,1254.09922347
3,83,2.94779736453,0.449534883721
3,85,252.667482643,220.144265626
3,87,543.739204125,449.676368031
3,90,495.514514788,476.893722052
3,91,118.058325292,78.3813620011
3,92,909.606752005,810.166722714
3,93,0.0,0.0
3,94,713.052237162,415.406299426
3,95,2021.27122013,1443.87212352
3,96,1199.5490142,994.135931467
3,97,92.2129272781,67.8258075176
3,98,23.4113078396,19.5381958181
3,99,0.0,0.0
3,39,0.0,0.0
3,50,0.0,0.0
3,43,0.0,0.0
3,65,0.0,0.0
4,1,8885.98393789,4814.98571333
4,2,5136.07775349,4101.85450374
4,3,6205.40702732,2989.25623022
4,4,2716.40170299,2073.00423762
4,5,10877.5364045,8134.46392156
4,6,3823.0570813,3034.70870822
4,7,18491.8712364,11186.0909435
4,8,3019.81487804,2354.93640564
4,9,5265.41082298,3999.76099049
4,10,4802.86634114,3781.14970317
4,11,6727.64598825,5809.93761114
4,12,1008.17252015,828.704778644
4,13,3289.19872464,2551.66672223
4,14,5564.80674192,3942.55673873
4,16,4501.5943561,3060.52008267
4,17,1888.13721821,1580.27811151
4,18,5474.63842823,3690.44313896
4,19,667.683926502,508.632150813
4,20,876.808752826,738.097185169
4,21,1296.85417728,1081.02166208
4,22,2281.97419813,1877.98993201
4,23,10429.6491686,8332.38631936
4,24,2412.36641103,1616.86174335
4,25,3060.18573707,2476.35445364
4,26,3182.39021778,2133.58361842
4,27,515.071314146,324.80047295
4,28,137.558446365,102.646399373
4,29,2047.95904559,1516.9480945
4,30,867.130925481,709.611351005
4,31,1542.82618366,1244.23365782
4,32,5466.77544309,3993.02778952
4,33,2746.71710275,1966.79407362
4,34,3335.97984525,2610.54797956
4,35,729.722993984,581.635251276
4,36,1279.217004,1009.41365059
4,37,905.49975669,633.580568472
4,38,8900.86875918,7337.73023705
4,40,4923.17612188,4050.8754362
4,41,578.583977274,409.969556489
4,42,1370.64772078,1113.79290801
4,44,1654.66797474,1467.78483236
4,45,7.89310044953,6.36581595219
4,46,5929.48766313,4700.91707776
4,47,77.2131295845,44.8265681272
4,48,1478.15192303,1199.68768965
4,49,1241.75259632,1031.16650331
4,51,5.36892444133,3.42941302307
4,52,1165.44386155,984.117384006
4,54,147.185782088,132.931636206
4,55,5152.784066,3959.67950156
4,56,2824.05944637,2145.77638398
4,58,2704.76915025,2255.73600225
4,59,4072.28339695,3909.31854615
4,60,75.1432794339,64.0219425823
4,67,2909.40519233,1955.64933993
4,71,1723.69872475,1377.74106009
4,72,30783.6281367,21694.8635601
4,74,2595.40149356,1977.66684561
4,77,90.3220101757,63.18245938
4,78,1.39974006207,1.19295954045
4,79,3942.70855596,3178.56236417
4,80,3355.69559827,2389.08608586
4,81,1562.22918833,1193.83220227
4,82,7598.84185735,6477.60970801
4,83,1496.54019772,1161.66644001
4,85,1029.39988242,915.29121316
4,87,1853.1682936,1520.91635092
4,90,13049.2897011,12039.3493472
4,91,3741.17387041,2917.64842744
4,92,14223.9873664,12437.4391734
4,93,5343.55875696,4143.80713078
4,94,4941.68681328,4265.79349254
4,95,10147.4140363,8655.99065505
4,96,4169.75834121,3309.35314637
4,97,2109.56790487,1589.11467656
4,98,2058.22876038,1547.59151463
4,99,870.568892312,839.108234685
4,39,0.0604415810597,0.0563372861778
4,50,0.0,0.0
4,43,0.0,0.0
4,65,0.0,0.0
5,1,1674.45144663,1087.26230667
5,2,1293.05317611,1081.71737052
5,3,1340.56063967,668.918214981
5,4,669.347577087,545.55648488
5,5,2039.36237533,1534.08840091
5,6,777.445873154,519.181373412
5,7,2126.37088183,1472.47033349
5,8,1105.99243319,947.495789563
5,9,1939.37143536,1342.50210564
5,10,1100.62599671,860.014101864
5,11,1183.23313371,973.370931638
5,12,468.710493375,377.060487235
5,13,1130.30400428,953.483457417
5,14,1012.94183258,748.604870265
5,16,2037.67789246,1483.15154449
5,17,369.403066188,274.356244743
5,18,943.158613348,670.94960139
5,19,26.5963179927,16.612820115
5,20,335.009174628,250.84280756
5,21,182.275632115,146.482004562
5,22,766.63263782,680.164910454
5,23,927.487392627,719.707361907
5,24,531.338131326,378.86742724
5,25,672.777105063,428.477619677
5,26,396.388954186,310.962772285
5,27,119.642278287,93.0764915166
5,28,78.9816896072,68.0759144439
5,29,256.758293752,187.747342427
5,30,222.414399775,185.494478819
5,31,193.886178813,145.885028303
5,32,877.234879964,613.771275715
5,33,425.723729266,345.721298041
5,34,566.062828467,469.150138318
5,35,393.365009292,341.632008058
5,36,238.045993723,180.484942746
5,37,0.0,0.0
5,38,8704.81972176,6961.41189261
5,40,1620.17195301,1322.2795124
5,41,687.683045605,634.413197244
5,42,477.866348461,381.993258581
5,44,253.958430987,213.745171153
5,45,20.500253494,17.5669083775
5,46,595.845208452,410.703588823
5,47,31.8583954603,12.2182860013
5,48,0.0,0.0
5,49,35.8315812284,25.9275753704
5,51,1.12106152864,0.94301368083
5,52,184.101015228,145.997401054
5,54,56.6897741088,34.3758639465
5,55,875.655816692,656.93868558
5,56,618.290335279,489.458025779
5,58,864.908635275,617.625743068
5,59,55.2330887764,48.9292594451
5,60,81.3294557509,64.5431980865
5,67,1068.61920309,663.966867029
5,71,192.758760316,151.171413005
5,72,5707.50710808,3450.06955147
5,74,693.990704366,568.69684017
5,77,40.1800484313,30.5050296878
5,78,0.303598252059,0.232089323261
5,79,517.5212488,396.837174443
5,80,0.825050718974,0.568417774803
5,81,405.456039212,373.155852203
5,82,737.767817441,509.248985108
5,83,0.0,0.0
5,85,269.510225796,216.433859398
5,87,1570.78505192,1287.52506945
5,90,418.285620171,362.538850529
5,91,282.569272871,217.956743347
5,92,655.69796412,556.31029358
5,93,0.0,0.0
5,94,548.030278173,347.317448455
5,95,1838.40236036,1595.25411587
5,96,1025.58976938,882.788210053
5,97,186.684998203,146.429191831
5,98,23.5513419192,21.0523525935
5,99,0.0,0.0
5,39,0.0,0.0
5,50,0.0,0.0
5,43,0.0,0.0
5,65,0.0,0.0
6,1,6586.01259818,4284.80099967
6,2,4265.25336914,3657.28183478
6,3,3644.30715812,2140.66833945
6,4,2174.84294099,1515.72011561
6,5,7997.94921469,5409.03618016
6,6,2983.51611645,2289.70259827
6,7,11205.5957338,6624.14027907
6,8,2270.50788804,1665.82386527
6,9,8709.45509047,6665.08499413
6,10,4119.05752901,3306.74424849
6,11,3078.7329389,2615.89005055
6,12,823.55593131,633.006039302
6,13,4013.65920157,3622.36747145
6,14,5064.896978,3881.50031388
6,16,5321.80666605,4002.01821532
6,17,2314.21004134,1941.09634657
6,18,3216.94635323,2384.966209
6,19,973.088768737,783.895489282
6,20,1359.33469261,1068.7234127
6,21,1520.60506989,1294.49596896
6,22,3513.62501453,2994.30939872
6,23,5605.50060861,4135.06358472
6,24,1737.3046328,1176.96392903
6,25,2169.03837896,1788.53607851
6,26,1568.52530289,985.750142636
6,27,360.07481097,286.960867709
6,28,91.1988522787,77.0770899133
6,29,1113.536867,800.562381902
6,30,630.72591946,508.122854351
6,31,732.223721607,559.930917299
6,32,3488.16404189,2174.31380713
6,33,1739.0911855,1283.42282888
6,34,2747.17890665,2024.94179062
6,35,541.089308178,449.173328739
6,36,1190.32538125,817.338637672
6,37,342.390893096,254.476418017
6,38,13016.7854587,11764.2603183
6,40,3010.55290653,2269.19249907
6,41,2401.04343806,2291.44670087
6,42,1382.58142705,1150.25367187
6,44,1453.87853272,1234.75949441
6,45,18.4273574497,15.481938145
6,46,3069.52882814,2370.49440263
6,47,78.5676254122,40.9891059918
6,48,1230.21930999,964.297775738
6,49,2378.65024659,2035.19334112
6,51,7.25162875518,3.91472545265
6,52,1402.76158607,1265.20420849
6,54,124.250130498,104.500291995
6,55,4113.71956238,2655.44088525
6,56,1585.37937855,1202.84668395
6,58,1651.20202942,1365.61218821
6,59,1992.83008715,1935.94306514
6,60,261.191427946,235.130427525
6,67,2501.68821169,1730.39000044
6,71,1123.67681439,908.93715697
6,72,19708.4672603,13005.6535269
6,74,2068.65276068,1571.17188744
6,77,51.8631930204,40.4226802712
6,78,2.2366280398,1.64942349698
6,79,2763.70750116,2104.48595329
6,80,987.904617463,825.341046942
6,81,923.18170264,709.77846339
6,82,3939.38060755,2944.14602798
6,83,573.270799427,482.559614395
6,85,549.447626856,463.296586015
6,87,4514.42063999,3559.39869424
6,90,6265.44431005,5572.0160569
6,91,2589.96128219,2202.9335182
6,92,6775.71967335,5231.57338794
6,93,5120.59642464,4130.24353714
6,94,5019.3430151,4230.66338229
6,95,6138.25132057,5132.40941855
6,96,2913.05033812,2221.03275598
6,97,1705.63041224,1368.13401172
6,98,1638.73227835,1363.35570117
6,99,514.539753476,489.604990519
6,39,0.0,0.0
6,50,0.0,0.0
6,43,0.0,0.0
6,65,0.0,0.0
7,1,1928.95101866,1579.05666025
7,2,1862.57629287,1611.57339718
7,3,1341.36351433,998.712363932
7,4,943.391957957,773.933150733
7,5,4244.20733223,2998.08821735
7,6,2149.22688774,1458.36938237
7,7,3097.69966997,2140.3972247
7,8,940.431978699,732.64670489
7,9,6313.00699145,5250.40052542
7,10,3812.6446933,3236.63632531
7,11,4082.27175038,3418.08167092
7,12,1736.59035999,1247.89287539
7,13,819.661175721,643.820457928
7,14,1436.87159222,1007.85689399
7,16,3980.39720172,2803.59946453
7,17,2006.08286528,1786.88771576
7,18,888.96757803,691.321847744
7,19,385.951974946,249.833894071
7,20,600.151991971,479.76006046
7,21,382.803806779,323.02850945
7,22,1168.8157644,906.417034905
7,23,2295.55067758,1531.34650597
7,24,1546.78893491,1387.17105993
7,25,1506.72359149,1267.18825619
7,26,425.901124823,323.640553574
7,27,138.231640239,115.568163223
7,28,192.203193292,176.052197437
7,29,381.671194266,276.11124032
7,30,263.431490113,203.601688351
7,31,540.721057387,395.608306231
7,32,1516.74286255,914.520669735
7,33,612.24403574,430.386584424
7,34,895.873766211,734.367171685
7,35,155.421354376,126.647000019
7,36,971.212714387,837.083824033
7,37,0.0,0.0
7,38,4298.99594983,3480.97278561
7,40,1982.54214492,1652.7229102
7,41,643.038128692,570.908447345
7,42,1143.77063381,959.639801374
7,44,1267.07015896,1168.78458692
7,45,28.1639207595,18.8811833754
7,46,1834.54535365,1587.53992459
7,47,60.7671031119,24.0410012217
7,48,1352.74836571,980.346775427
7,49,45.4659896688,38.6474377839
7,51,22.2010307448,19.5019699806
7,52,520.793498474,457.565713007
7,54,71.2252693255,58.7469626656
7,55,2044.69082186,1456.01043053
7,56,3348.60230806,2348.6187579
7,58,1391.98383468,1001.84761841
7,59,46.1711168178,37.8678229409
7,60,51.8375443427,43.5447534658
7,67,1024.91347278,776.796407831
7,71,402.357793702,316.417344001
7,72,15940.9666122,12057.2785518
7,74,1285.72135106,1009.19650429
7,77,50.7263446025,40.8896329482
7,78,0.581276060943,0.386379546134
7,79,709.305391747,599.907880074
7,80,278.542008462,226.726222452
7,81,1081.89880158,972.334271805
7,82,1563.88607484,1187.88278402
7,83,497.816565574,474.878610019
7,85,1003.17251906,931.529876345
7,87,1507.23101784,1247.57475416
7,90,2759.47475613,2353.09923358
7,91,1801.47548461,1358.60888872
7,92,2956.6740468,2479.03267706
7,93,547.916631099,467.408027375
7,94,1093.23087484,935.739437729
7,95,4755.12912527,4196.32873031
7,96,474.384061346,338.85683204
7,97,1508.38834555,1313.35667235
7,98,162.056993422,134.00124429
7,99,2.28747855499,0.348837209302
7,39,0.0,0.0
7,50,0.0,0.0
7,43,0.0,0.0
7,65,0.0,0.0
8,1,5511.07489119,2985.37803884
8,2,1887.2611185,1454.24211096
8,3,3166.22834697,1461.6206015
8,4,1530.21353994,1248.90152325
8,5,4929.47778821,3562.57049837
8,6,1703.68302924,1305.81686217
8,7,7183.10820527,4315.05798595
8,8,2808.81972339,2450.3950312
8,9,2225.25963617,1719.17617978
8,10,2151.52994433,1608.78273014
8,11,3815.78965196,2862.06044214
8,12,772.599112942,610.765198905
8,13,1640.35467316,1392.16896937
8,14,2324.42298709,1530.63842962
8,16,5149.66284369,3455.54325397
8,17,924.753269855,741.081204472
8,18,2710.50153956,1502.62188246
8,19,936.076991517,874.112808731
8,20,615.974466048,484.540331133
8,21,587.539510614,503.648907425
8,22,1511.75805747,1184.66069459
8,23,2844.69414272,1969.66890204
8,24,1353.35236155,970.758487836
8,25,1118.54142664,887.73614945
8,26,1109.77190449,862.78793045
8,27,339.417672087,295.80148614
8,28,175.01601176,156.532495605
8,29,1064.67536108,936.017733712
8,30,402.40216141,348.447705951
8,31,552.064096406,422.930152392
8,32,2380.55671981,1503.35993195
8,33,1676.15616325,1296.34101328
8,34,2058.78823917,1764.25682827
8,35,487.898671014,400.916023984
8,36,696.28637835,571.703035176
8,37,436.992463498,370.436405036
8,38,6884.38395801,5699.77453712
8,40,5068.59070693,4506.55220532
8,41,719.897363762,621.499783268
8,42,541.250857082,410.806373524
8,44,683.190617623,539.797375261
8,45,2.16166835385,1.4366001739
8,46,2426.59541267,1890.86185324
8,47,34.5112142833,14.6464394397
8,48,0.0,0.0
8,49,875.922446887,720.042969906
8,51,4.29794857879,3.4400358204
8,52,534.745507856,455.317350236
8,54,65.313974627,42.7368421057
8,55,1344.63490209,995.235867606
8,56,2217.51693148,1340.24130987
8,58,2135.07375705,1826.07225901
8,59,1765.63663414,1726.75394315
8,60,69.7902116206,54.5970303167
8,67,1770.05773853,1141.23748032
8,71,610.896354063,476.499802497
8,72,10404.8796824,7379.42899654
8,74,1292.80465689,982.848007283
8,77,37.8642726168,36.4038387039
8,78,2.68876879368,2.01933347002
8,79,2925.95840702,2281.78752179
8,80,575.640409716,442.063550656
8,81,670.031109498,551.001776362
8,82,2525.80468805,1476.48220842
8,83,508.436406853,362.481756436
8,85,489.747985557,426.607010216
8,87,3944.10694915,3237.23324604
8,90,5042.76456783,4494.99322275
